,mean,median,mode
"While watching my favorite live streamer, I had the feeling that the streamer I'm watching... [Was aware of me.]",3.826923077,4,5
"While watching my favorite live streamer, I had the feeling that the streamer I'm watching... [Knew I was there.]",3.692307692,4,5
"While watching my favorite live streamer, I had the feeling that the streamer I'm watching... [Knew I was aware of them.]",3.865384615,4,5
"While watching my favorite live streamer, I had the feeling that the streamer I'm watching... [Knew I paid attention to them.]",3.807692308,4,5
"While watching my favorite live streamer, I had the feeling that the streamer I'm watching... [Knew that I reacted to them.]",3.923076923,4,5
"While watching my favorite live streamer, I had the feeling that the streamer I'm watching... [Reacted to what I said or did.]",3.865384615,4,5
"[My favorite streamer makes me feel comfortable, as if I am with a friend.]",4.25,5,5
"[I see my favorite streamer as a natural, down-to-earth person.]",4.384615385,5,5
[I look forward to watching my favorite streamer the next time they stream.],4.211538462,5,5
"[If my favorite live streamer appeared on another streamer's live stream, I would also watch that live stream.]",4.269230769,5,5
[My favorite streamer seems to understand the kind of things I want to know.],4.057692308,4,5
"[If I saw a story or article about my favorite streamer online, I would read it.]",4.230769231,5,5
[I miss seeing my favorite streamer when he or she is ill or on a vacation.],3.846153846,4,5
[I would like to meet my favorite streamer in person.],4.365384615,5,5
[I feel sorry for my favorite streamer when he or she makes a mistake.],3.961538462,4,5
[I'd like to do the things my favorite streamer does while streaming.],4.019230769,4,5
[My favorite streamer is the sort of person I want to be like myself.],3.711538462,4,5
[I wish I could be more like my favorite streamer.],3.807692308,4,5
"[Whenever I have time, I log on to my live stream platform account.]",3.980769231,4,5
"[Frequently, I regret I consume too much time watching live streams.]",3.038461538,3,3
"[If I could not watch live streams, I would be depressed.]",2.711538462,3,1
[I have difficulties in focusing on my study or work due to watching live streams.],2.480769231,2,1
[I lose sleep over spending more time watching live streams.],2.75,3,1
[Watching live streams interferes with doing social activities.],2.961538462,3,2
[I feel anxious if I cannot watch live streams.],2.576923077,2,1
[I have attempted to spend less time watching live streams but have not succeeded.],2.807692308,3,3
[I get important needs of mine met because I am a part of my favorite streamer's fanbase.],3.442307692,3,3
[My favorite streamer's fanbase and I value the same things.],3.884615385,4,4
[Being a member of my favorite streamer's fanbase makes me feel good.],3.807692308,4,5
"[When I have a problem, I can talk about it with members of my favorite streamer's fanbase.]",3.288461538,3,3
"[People in the fanbase have similar needs, priorities, and goals.]",3.576923077,3.5,3
[I can trust people in this community.],3.634615385,4,3
[I put a lot of time and effort into being part of my favorite streamer's fanbase.],3.442307692,3,5
[Being a member of my favorite streamer's fanbase is a part of my identity.],3.192307692,3,3
[Fitting into my favorite streamer's fanbase is important to me.],3.461538462,4,5
[It is very important for me to be a part of my favorite streamer's fanbase.],3.461538462,3.5,3
[I expect to be a part of my favorite streamer's fanbase for a long time.],3.538461538,4,5
[I feel in tune with my favorite streamer's fanbase while watching my favorite streamer.],3.788461538,4,4
[I do not feel alone while watching my favorite streamer.],3.980769231,4,5
[I feel part of a group of friends while watching my favorite streamer.],4.057692308,4,5
[My interests and ideas are not shared by those in my favorite streamer's fanbase.],3.384615385,3,3
[There are people in my favorite streamer's fanbase I feel close to.],3.5,3.5,3
[I feel left out while watching my favorite streamer.],2.653846154,3,1
[I feel isolated from others in my favorite streamer's fanbase.],2.75,3,1
[I am unhappy being so withdrawn from others in my favorite streamer's fanbase.],2.480769231,2,1
[Attractive],4.230769231,5,5
[Classy],4.076923077,5,5
[Handsome/Beautiful],4.173076923,5,5
[Sexy],3.807692308,4,5
[Dependable],4.307692308,5,5
[Honest],4.538461538,5,5
[Reliable],4.403846154,5,5
[Sincere],4.365384615,5,5
[Trustworthy],4.346153846,5,5
[Expert],4.480769231,5,5
[Experienced],4.538461538,5,5
[Knowledgeable],4.519230769,5,5
[Skilled],4.557692308,5,5
